Gap,1,0.99,0.95,0.9
10,22,24,24,24
9,22,23,24,24
8,21,23,24,24
7,20,23,24,24
6,20,21,22,24
5,18,21,21,22
4,16,20,21,22
3,14,18,20,21
2,9,14,19,20
1,3,8,11,14
