Gap,1,0.99,0.95,0.9
10,22,23,23,24
9,22,23,23,24
8,21,23,23,24
7,21,23,23,24
6,21,23,23,24
5,19,23,23,24
4,15,22,22,23
3,10,20,21,22
2,7,15,19,22
1,3,7,9,16
